"Date","Time","Open","High","Low","Close","Vol","OI"
07/15/2017,06:59,117.074,117.428,116.417,116.738,0,0
07/18/2017,06:59,116.738,117.250,116.554,117.009,0,0
07/19/2017,06:59,116.906,117.630,116.696,117.310,0,0
07/20/2017,06:59,117.294,117.577,116.934,117.121,0,0
07/21/2017,06:59,117.136,117.713,116.591,117.605,0,0
07/22/2017,06:59,117.607,117.775,117.239,117.478,0,0
07/25/2017,06:59,117.449,117.588,116.928,117.359,0,0
07/26/2017,06:59,117.346,117.876,117.141,117.445,0,0
07/27/2017,06:59,117.471,117.613,116.432,116.909,0,0
07/28/2017,06:59,116.868,116.927,115.141,115.292,0,0
07/29/2017,06:59,115.228,115.343,114.091,114.172,0,0
08/01/2017,06:59,114.030,114.634,113.798,114.003,0,0
08/02/2017,06:59,113.946,114.521,113.786,114.278,0,0
08/03/2017,06:59,114.194,114.792,113.860,114.018,0,0
08/04/2017,06:59,113.924,114.300,113.387,113.607,0,0
08/05/2017,06:59,113.550,114.074,113.462,113.730,0,0
08/08/2017,06:59,113.704,114.016,113.615,113.757,0,0
08/09/2017,06:59,113.791,113.823,113.160,113.261,0,0
08/10/2017,06:59,113.175,114.245,112.954,114.211,0,0
08/11/2017,06:59,114.148,114.286,113.277,113.444,0,0
08/12/2017,06:59,113.373,113.620,113.219,113.440,0,0
08/15/2017,06:59,113.325,113.725,112.653,112.770,0,0
08/16/2017,06:59,112.747,113.816,112.649,113.769,0,0
08/17/2017,06:59,113.741,114.179,113.529,114.074,0,0
08/18/2017,06:59,114.006,114.245,113.670,113.742,0,0
08/19/2017,06:59,113.679,113.832,113.010,113.124,0,0
08/22/2017,06:59,113.211,113.331,112.559,113.255,0,0
08/23/2017,06:59,113.221,113.533,112.914,113.113,0,0
08/24/2017,06:59,113.102,113.323,112.830,112.896,0,0
08/25/2017,06:59,112.887,113.533,112.708,113.435,0,0
08/26/2017,06:59,113.395,114.414,113.386,114.217,0,0
08/29/2017,06:59,114.238,114.639,113.959,114.343,0,0
08/30/2017,06:59,114.341,115.071,113.909,114.857,0,0
08/31/2017,06:59,114.680,115.321,114.343,114.375,0,0
09/01/2017,06:59,114.369,114.816,114.199,114.680,0,0
09/02/2017,06:59,114.615,114.858,114.161,114.211,0,0
09/05/2017,06:59,113.974,114.725,113.935,114.419,0,0
09/06/2017,06:59,114.421,114.529,113.694,113.869,0,0
09/07/2017,06:59,113.821,114.283,113.688,114.158,0,0
09/08/2017,06:59,113.987,114.427,113.737,114.092,0,0
09/09/2017,06:59,114.043,114.490,113.437,114.193,0,0
09/12/2017,06:59,114.115,114.668,113.994,114.333,0,0
09/13/2017,06:59,114.368,114.781,114.227,114.729,0,0
09/14/2017,06:59,114.630,114.837,114.411,114.554,0,0
09/15/2017,06:59,114.504,114.738,113.930,114.392,0,0
09/16/2017,06:59,114.336,115.930,113.712,115.441,0,0
09/19/2017,06:59,115.491,116.197,115.447,115.964,0,0
09/20/2017,06:59,115.936,116.462,115.560,115.910,0,0
09/21/2017,06:59,115.847,116.079,115.577,115.662,0,0
09/22/2017,06:59,115.669,115.953,115.360,115.867,0,0
09/23/2017,06:59,115.850,115.943,115.409,115.455,0,0
09/26/2017,06:59,115.455,115.853,115.030,115.580,0,0
09/27/2017,06:59,115.468,115.910,114.979,115.850,0,0
09/28/2017,06:59,115.801,116.199,115.504,116.009,0,0
09/29/2017,06:59,115.962,116.187,115.534,115.773,0,0
09/30/2017,06:59,115.701,116.372,115.671,116.122,0,0
10/03/2017,06:59,116.194,116.417,115.455,115.639,0,0
10/04/2017,06:59,115.620,116.034,115.504,115.882,0,0
10/05/2017,06:59,115.836,115.979,115.504,115.622,0,0
10/06/2017,06:59,115.487,115.736,115.029,115.290,0,0
10/07/2017,06:59,115.218,115.540,115.023,115.126,0,0
10/10/2017,06:59,114.981,115.210,114.869,115.001,0,0
10/11/2017,06:59,114.956,115.331,114.882,115.297,0,0
10/12/2017,06:59,115.273,115.629,114.923,115.574,0,0
10/13/2017,06:59,115.420,115.653,115.007,115.114,0,0
10/14/2017,06:59,115.013,115.160,114.626,114.716,0,0
10/17/2017,06:59,114.537,115.024,114.422,114.989,0,0
10/18/2017,06:59,114.934,115.037,114.504,114.657,0,0
10/19/2017,06:59,114.625,115.159,114.584,115.031,0,0
10/20/2017,06:59,114.990,115.547,114.895,115.272,0,0
10/21/2017,06:59,115.220,115.601,115.021,115.239,0,0
10/24/2017,06:59,115.521,115.727,114.983,115.153,0,0
10/25/2017,06:59,115.142,115.373,114.822,114.918,0,0
10/26/2017,06:59,114.857,115.123,114.730,114.903,0,0
10/27/2017,06:59,114.901,114.971,114.022,114.231,0,0
10/28/2017,06:59,114.189,114.399,113.705,113.823,0,0
10/31/2017,06:59,113.915,114.011,113.477,113.805,0,0
11/01/2017,06:59,113.780,114.110,113.395,113.883,0,0
11/02/2017,06:59,113.843,114.093,113.698,113.792,0,0
11/03/2017,06:59,113.785,114.256,113.741,114.149,0,0
11/04/2017,06:59,114.129,114.268,113.934,113.948,0,0
11/07/2017,06:59,114.009,114.511,113.839,113.974,0,0
11/08/2017,06:59,113.960,114.394,113.834,113.938,0,0
11/09/2017,06:59,113.924,114.003,113.464,113.830,0,0
11/10/2017,06:59,113.832,114.134,113.277,114.131,0,0
11/11/2017,06:59,114.129,114.284,113.836,113.910,0,0
11/14/2017,06:59,113.847,114.090,113.516,114.042,0,0
11/15/2017,06:59,114.019,114.697,113.910,114.634,0,0
11/16/2017,06:59,114.658,114.680,114.104,114.161,0,0
11/17/2017,06:59,114.135,114.340,113.519,113.684,0,0
11/18/2017,06:59,113.652,113.804,113.112,113.293,0,0
11/21/2017,06:59,113.309,113.516,113.055,113.340,0,0
11/22/2017,06:59,113.306,113.451,113.105,113.395,0,0
11/23/2017,06:59,113.363,113.608,113.141,113.270,0,0
11/24/2017,06:59,113.224,113.495,113.126,113.164,0,0
11/25/2017,06:59,113.167,113.971,113.167,113.713,0,0
11/28/2017,06:59,113.757,113.946,113.062,113.141,0,0
11/29/2017,06:59,113.148,113.412,112.949,113.261,0,0
11/30/2017,06:59,113.136,113.755,113.091,113.673,0,0
12/01/2017,06:59,113.515,114.542,113.451,114.373,0,0
12/02/2017,06:59,114.313,114.932,114.094,114.862,0,0
12/05/2017,06:59,114.864,115.153,114.039,114.085,0,0
12/06/2017,06:59,114.092,114.386,113.894,113.990,0,0
12/07/2017,06:59,114.018,114.052,113.284,113.427,0,0
12/08/2017,06:59,113.355,113.786,113.300,113.714,0,0
12/09/2017,06:59,113.691,114.394,113.680,114.223,0,0
12/12/2017,06:59,114.115,114.556,114.087,114.454,0,0
12/13/2017,06:59,114.431,114.679,114.288,114.513,0,0
12/14/2017,06:59,114.477,114.540,114.024,114.169,0,0
12/15/2017,06:59,114.136,114.458,113.445,113.637,0,0
12/16/2017,06:59,113.597,113.802,113.287,113.580,0,0
12/19/2017,06:59,113.761,114.228,113.400,114.164,0,0
12/20/2017,06:59,114.176,114.727,114.099,114.600,0,0
12/21/2017,06:59,114.561,115.153,114.452,114.887,0,0
12/22/2017,06:59,114.808,115.173,114.461,114.635,0,0
12/23/2017,06:59,114.597,114.676,114.344,114.418,0,0
12/27/2017,06:59,114.254,114.636,114.254,114.415,0,0
12/28/2017,06:59,114.366,114.893,114.267,114.883,0,0
12/29/2017,06:59,114.830,115.503,114.702,115.310,0,0
12/30/2017,06:59,115.216,115.745,115.125,115.530,0,0
01/03/2018,06:59,115.498,115.832,115.293,115.550,0,0
01/04/2018,06:59,115.472,115.579,114.714,115.147,0,0
01/05/2018,06:59,115.068,115.835,115.025,115.665,0,0
01/06/2018,06:59,115.615,116.152,115.574,115.908,0,0
01/09/2018,06:59,115.974,116.076,115.437,115.699,0,0
01/10/2018,06:59,115.652,115.781,114.290,114.529,0,0
01/11/2018,06:59,114.521,114.609,113.658,113.881,0,0
01/12/2018,06:59,113.843,114.496,113.706,113.988,0,0
01/13/2018,06:59,113.906,114.870,113.826,114.647,0,0
01/16/2018,06:59,114.654,115.165,114.411,114.722,0,0
01/17/2018,06:59,114.724,115.212,114.545,115.112,0,0
01/18/2018,06:59,115.062,115.566,114.781,115.253,0,0
01/19/2018,06:59,115.104,116.000,115.084,115.818,0,0
01/20/2018,06:59,115.735,115.944,114.829,114.873,0,0
01/23/2018,06:59,114.996,115.427,114.851,115.304,0,0
01/24/2018,06:59,115.269,115.487,114.780,115.138,0,0
01/25/2018,06:59,115.158,115.831,114.979,115.486,0,0
01/26/2018,06:59,115.478,117.010,115.328,116.216,0,0
01/27/2018,06:59,116.204,116.941,115.789,116.290,0,0
01/30/2018,06:59,116.211,116.539,116.023,116.194,0,0
01/31/2018,06:59,116.172,116.654,115.770,116.405,0,0
02/01/2018,06:59,116.317,117.503,116.230,117.225,0,0
02/02/2018,06:59,117.132,118.098,117.065,118.073,0,0
02/03/2018,06:59,117.955,118.549,117.949,118.192,0,0
02/06/2018,06:59,118.041,118.276,116.747,117.088,0,0
02/07/2018,06:59,117.041,117.284,116.268,117.010,0,0
02/08/2018,06:59,116.930,117.217,115.614,115.878,0,0
02/09/2018,06:59,115.785,116.608,115.658,116.162,0,0
02/10/2018,06:59,116.097,116.593,115.061,115.718,0,0
02/13/2018,06:59,115.719,116.040,115.506,115.665,0,0
02/14/2018,06:59,115.641,115.849,114.973,115.285,0,0
02/15/2018,06:59,115.274,115.401,114.335,115.142,0,0
02/16/2018,06:59,115.065,115.427,114.574,115.104,0,0
02/17/2018,06:59,115.070,115.287,114.449,114.535,0,0
02/20/2018,06:59,114.472,114.936,114.411,114.682,0,0
02/21/2018,06:59,114.623,114.917,114.512,114.616,0,0
02/22/2018,06:59,114.522,115.101,114.479,114.749,0,0
02/23/2018,06:59,114.727,114.742,114.068,114.432,0,0
02/24/2018,06:59,114.410,114.616,113.772,114.060,0,0
02/27/2018,06:59,114.389,114.389,113.839,113.996,0,0
02/28/2018,06:59,113.954,114.455,113.932,114.269,0,0
03/01/2018,06:59,114.269,114.435,112.785,112.919,0,0
03/02/2018,06:59,112.838,113.227,112.365,112.774,0,0
03/03/2018,06:59,112.696,112.907,112.341,112.646,0,0
03/06/2018,06:59,112.769,112.993,112.294,112.972,0,0
03/07/2018,06:59,112.925,113.474,112.595,112.811,0,0
03/08/2018,06:59,112.795,112.876,112.112,112.397,0,0
