"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年04月24日","3128.93","3,069.75","3,136.04","3,069.75","16.23B","1.99%"
"2018年04月23日","3068.01","3,063.44","3,085.06","3,045.94","13.17B","-0.11%"
"2018年04月20日","3071.54","3,105.46","3,111.17","3,065.92","15.51B","-1.47%"
"2018年04月19日","3117.38","3,094.27","3,127.44","3,090.29","16.01B","0.84%"
"2018年04月18日","3091.40","3,091.91","3,096.89","3,041.62","15.93B","0.80%"
"2018年04月17日","3066.80","3,112.97","3,118.76","3,064.03","14.72B","-1.41%"
"2018年04月16日","3110.65","3,152.89","3,153.11","3,096.10","15.44B","-1.53%"
"2018年04月13日","3159.05","3,192.04","3,197.90","3,155.51","12.76B","-0.66%"
"2018年04月12日","3180.16","3,203.28","3,205.25","3,177.05","14.82B","-0.87%"
"2018年04月11日","3208.08","3,197.37","3,220.85","3,191.59","17.59B","0.56%"
"2018年04月10日","3190.32","3,144.26","3,190.65","3,139.08","16.82B","1.66%"
"2018年04月09日","3138.29","3,125.44","3,146.09","3,110.30","13.96B","0.23%"
"2018年04月04日","3131.11","3,147.05","3,163.34","3,128.87","14.70B","-0.18%"
"2018年04月03日","3136.63","3,130.01","3,144.33","3,119.13","15.22B","-0.84%"
"2018年04月02日","3163.18","3,169.78","3,192.34","3,159.99","17.77B","-0.18%"
"2018年03月30日","3168.90","3,161.79","3,177.72","3,152.89","15.46B","0.26%"
"2018年03月29日","3160.53","3,127.26","3,174.51","3,098.25","17.03B","1.22%"
"2018年03月28日","3122.29","3,130.57","3,165.21","3,117.53","16.35B","-1.40%"
"2018年03月27日","3166.65","3,164.80","3,172.78","3,143.57","18.91B","1.05%"
"2018年03月26日","3133.72","3,117.32","3,134.28","3,091.46","18.64B","-0.60%"
"2018年03月23日","3152.76","3,172.77","3,188.24","3,110.66","27.55B","-3.39%"
"2018年03月22日","3263.48","3,281.26","3,288.80","3,242.76","15.04B","-0.53%"
"2018年03月21日","3280.95","3,299.73","3,314.21","3,268.88","16.84B","-0.29%"
"2018年03月20日","3290.64","3,257.22","3,292.57","3,252.43","13.99B","0.35%"
"2018年03月19日","3279.25","3,264.93","3,280.57","3,251.05","13.80B","0.29%"
"2018年03月16日","3269.88","3,290.21","3,300.57","3,269.28","14.12B","-0.65%"
"2018年03月15日","3291.11","3,277.51","3,297.10","3,273.20","14.86B","-0.01%"
"2018年03月14日","3291.38","3,298.67","3,304.98","3,287.36","15.75B","-0.57%"
"2018年03月13日","3310.24","3,324.12","3,333.88","3,307.38","17.71B","-0.49%"
"2018年03月12日","3326.70","3,319.21","3,333.56","3,313.56","20.65B","0.59%"
"2018年03月09日","3307.17","3,291.43","3,309.72","3,283.56","16.84B","0.57%"
"2018年03月08日","3288.41","3,268.35","3,289.50","3,261.55","14.98B","0.51%"
"2018年03月07日","3271.67","3,288.86","3,308.41","3,264.76","16.87B","-0.55%"
"2018年03月06日","3289.64","3,266.49","3,290.25","3,243.65","19.54B","1.00%"
"2018年03月05日","3256.93","3,255.87","3,269.40","3,236.72","14.48B","0.07%"
